Nâng cấp bắt đầu: 17:02:39_04-02-2026
17:02:39_04-02-2026 | ::1 | Cập nhật module News lên 4.5.07 | SUCCESS
17:02:40_04-02-2026 | ::1 | Cập nhật hệ thống lên 4.5.07 | SUCCESS
17:02:41_04-02-2026 | ::1 | Cập nhật CSDL lên phiên bản 4.5.07 | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục assets/js/pdf.js/standard_fonts | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/guzzlehttp | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/guzzlehttp/psr7 | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/guzzlehttp/psr7/src | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/kriswallsmith/buzz/lib/Buzz/Converter | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/kriswallsmith/buzz/lib/Buzz/Middleware | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/psr | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/psr/http-message | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/psr/http-message/src | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/ralouphie | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/ralouphie/getallheaders | SUCCESS
17:03:31_04-02-2026 | ::1 | Tạo thư mục vendor/ralouphie/getallheaders/src | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/authors/2step.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/authors/2step_zalo.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/authors/add.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/authors/api-credentials.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/authors/api-roles.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/authors/del.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/authors/edit.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/authors/main.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/authors/module.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/database/file.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/database/functions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/database/sampledata.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/database/savefile.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/extensions/download.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/extensions/functions.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/extensions/install.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/extensions/upload.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/index.php | SUCCESS
17:03:31_04-02-2026 | ::1 | Di chuyển file admin/language/check.php | SUCCESS
